,author,title,url,description,date,content
10,Bloomberg News,Texas Power Firm Set for Worst Week in Two Years as AI Bets Fade,https://financialpost.com/pmn/business-pmn/texas-power-firm-set-for-worst-week-in-two-years-as-ai-bets-fade,Shares of power producer Vistra Corp. are on track for their worst week since 2022 as traders backpedaled on bets for an AI-fueled surge in electricity demand.,2024-06-07T14:51:45Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/texas-power-firm-set-for-worst-week-in-two-years-as-ai-bets-fade
11,Bloomberg News,"Trump Tax Cut Renewal Is Winning Wall Street, But Could Cost $4.6 Trillion",https://financialpost.com/pmn/business-pmn/trump-tax-cut-renewal-is-winning-wall-street-but-could-cost-4-6-trillion,The prospect of a fresh round of tax cuts next year is helping Donald Trump woo Wall Street donors but threatens to add trillions of dollars to the national debt.,2024-06-07T09:25:46Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/trump-tax-cut-renewal-is-winning-wall-street-but-could-cost-4-6-trillion
12,Ben Cousins,"More young Canadians want homes and pets over marriage and kids, survey says",https://financialpost.com/personal-finance/young-canadians-homes-pets-over-marriage-kids,Young Canadians are prioritizing homeownership and pets over marriage and kids amid the high cost of living. Find out more.,2024-06-08T15:00:07Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/personal-finance/young-canadians-homes-pets-over-marriage-kids
13,Business Wire,"Vecima Networks Inc. Announces Termination of Asset Purchase Agreement with Casa Systems, Inc. and Cancellation of Subscription Receipts",https://financialpost.com/pmn/business-wire-news-releases-pmn/vecima-networks-inc-announces-termination-of-asset-purchase-agreement-with-casa-systems-inc-and-cancellation-of-subscription-receipts,"THIS NEWS RELEASE IS INTENDED FOR DISTRIBUTION IN CANADA ONLY AND IS NOT INTENDED FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES. VICTORIA, British Columbia — Vecima Networks Inc. (TSX:VCM) (“Vecima”) announces t…",2024-06-07T22:58:13Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/vecima-networks-inc-announces-termination-of-asset-purchase-agreement-with-casa-systems-inc-and-cancellation-of-subscription-receipts
14,GlobeNewswire,Radisson announces results of its Annual General Meeting of Shareholders,https://financialpost.com/globe-newswire/radisson-announces-results-of-its-annual-general-meeting-of-shareholders-3,"ROUYN-NORANDA, Quebec, June 07, 2024 (GLOBE NEWSWIRE) — Radisson Mining Resources Inc. (TSX-V: RDS, OTC: RMRDF): (“Radisson” or the “Company) is pleased to announce the results of its Annual General Meeting of Shareholders (“AGM”) held virtually from its offi…",2024-06-07T22:53:26Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/radisson-announces-results-of-its-annual-general-meeting-of-shareholders-3
15,Business Wire,"CUPE 1356-02 receives ‘no board’ report approval, putting union in legal strike position on June 24",https://financialpost.com/pmn/business-wire-news-releases-pmn/cupe-1356-02-receives-no-board-report-approval-putting-union-in-legal-strike-position-on-june-24,"TORONTO — After ten months of negotiations without reaching an agreement, CUPE Local 1356-02 has requested and received the “no board” report, which will put the workers in a legal strike or lockout position at 12:01am on Monday, June 24, 2024. CUPE 1356-02 r…",2024-06-07T23:18:33Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/cupe-1356-02-receives-no-board-report-approval-putting-union-in-legal-strike-position-on-june-24
16,The Associated Press,A real nut case: Cold Stone Creamery faces suit over lack of real pistachios in pistachio ice cream,https://financialpost.com/pmn/business-pmn/a-real-nut-case-cold-stone-creamery-faces-suit-over-lack-of-real-pistachios-in-pistachio-ice-cream,Is it nuts to assume a scoop of pistachio ice cream should contain actual pistachios? Or how about real butter in a dish of butter pecan? Such weighty questions about a favorite summertime confection could soon be decided by the courts. A federal judge in New…,2024-06-07T23:06:44Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/a-real-nut-case-cold-stone-creamery-faces-suit-over-lack-of-real-pistachios-in-pistachio-ice-cream
17,The Associated Press,Netflix’s recipe for success includes ‘secret sauce’ spiced with Silicon Valley savvy,https://financialpost.com/pmn/business-pmn/netflixs-recipe-for-success-includes-secret-sauce-spiced-with-silicon-valley-savvy,"LOS GATOS, Calif. (AP) — Although its video streaming service sparkles with a Hollywood sheen, Netflix still taps its roots in Silicon Valley to stay a step ahead of traditional TV and movie studios. The Los Gatos, California, company, based more than 300 mil…",2024-06-08T11:42:44Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/netflixs-recipe-for-success-includes-secret-sauce-spiced-with-silicon-valley-savvy
18,GlobeNewswire,Five ways to celebrate World Ocean Day in Canada,https://financialpost.com/globe-newswire/five-ways-to-celebrate-world-ocean-day-in-canada,"OTTAWA, June 08, 2024 (GLOBE NEWSWIRE) — Across Canada today, people are celebrating their connection to the ocean. They are taking part in local festivals, arts, and science activities in honour of World Ocean Day. This is the annual global day for ocean awa…",2024-06-08T11:32:30Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/five-ways-to-celebrate-world-ocean-day-in-canada
19,Business Wire,Cenergy Implements Hansen Solutions for Enhanced Customer Service Management in Community Solar Projects,https://financialpost.com/pmn/business-wire-news-releases-pmn/cenergy-implements-hansen-solutions-for-enhanced-customer-service-management-in-community-solar-projects,"MELBOURNE, Australia — Hansen Technologies (ASX:HSN), a leading global provider of software and services to the energy, water and communications industries, is pleased to announce the successful implementation of its solutions at Cenergy Power (Cenergy), a le…",2024-06-10T13:01:47Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/cenergy-implements-hansen-solutions-for-enhanced-customer-service-management-in-community-solar-projects
20,The Associated Press,Diesel prices jump 56% as Malaysia revamps decades-old fuel subsidies,https://financialpost.com/pmn/business-pmn/diesel-prices-jump-56-as-malaysia-revamps-decades-old-fuel-subsidies,"KUALA LUMPUR, Malaysia (AP) — Diesel price in Malaysia jumped by more than 50% on Monday as part of a revamp of decades-old fuel subsidies to tighten government spending and save billions of ringgits annually. The restructuring eliminates blanket energy subsi…",2024-06-10T04:14:07Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/diesel-prices-jump-56-as-malaysia-revamps-decades-old-fuel-subsidies
21,The Associated Press,Apple poised to launch its late start in the AI race with ambitions to overtake the early leaders,https://financialpost.com/pmn/business-pmn/apple-poised-to-launch-its-late-start-in-the-ai-race-with-ambitions-to-overtake-the-early-leaders,"Apple’s annual World Wide Developers Conference on Monday is expected to herald the company’s move into generative artificial intelligence, marking its late arrival to a technological frontier that’s expected to be as revolutionary as the invention of the iPh…",2024-06-10T04:09:39Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/apple-poised-to-launch-its-late-start-in-the-ai-race-with-ambitions-to-overtake-the-early-leaders
22,The Associated Press,Martha’s Vineyard is about to run out of pot. That’s led to a lawsuit and a scramble by regulators,https://financialpost.com/pmn/business-pmn/marthas-vineyard-is-about-to-run-out-of-pot-thats-led-to-a-lawsuit-and-a-scramble-by-regulators,"VINEYARD HAVEN, Mass. (AP) — An 81-year-old woman on Martha’s Vineyard drove up to the Island Time dispensary last week seeking her usual order of pot. But owner Geoff Rose had to tell her the cupboard was bare — he’d been forced to temporarily close three we…",2024-06-10T04:18:49Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/marthas-vineyard-is-about-to-run-out-of-pot-thats-led-to-a-lawsuit-and-a-scramble-by-regulators
23,GlobeNewswire,Bitfarms Announces Adoption of Shareholder Rights Plan,https://financialpost.com/globe-newswire/bitfarms-announces-adoption-of-shareholder-rights-plan,"This news release constitutes a “designated news release” for the purposes of the Company’s prospectus supplement dated March 8, 2024, to its short form base shelf prospectus dated November 10, 2023. TORONTO, Ontario and BROSSARD, Québec, June 10, 2024 (GLOBE…",2024-06-10T10:04:10Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/bitfarms-announces-adoption-of-shareholder-rights-plan
24,GlobeNewswire,Pulsar Announces Further Analysis Putting Topaz in the Top Tier of Global Primary Helium Projects,https://financialpost.com/globe-newswire/pulsar-announces-further-analysis-putting-topaz-in-the-top-tier-of-global-primary-helium-projects,"VANCOUVER, British Columbia, June 10, 2024 (GLOBE NEWSWIRE) — Pulsar Helium Inc. (TSXV:PLSR & OTCQB:PSRHF) (“Pulsar” or the “Company”) is today reporting further results from its ongoing exploration program at its 100% owned Topaz project in Minnesota. Flow r…",2024-06-10T10:04:00Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/pulsar-announces-further-analysis-putting-topaz-in-the-top-tier-of-global-primary-helium-projects
25,Business Wire,"Citi Launches Citi Real-Time Funding for Corporate Clients, Expanding Its Real-Time Treasury Suite",https://financialpost.com/pmn/business-wire-news-releases-pmn/citi-launches-citi-real-time-funding-for-corporate-clients-expanding-its-real-time-treasury-suite,"Latest real-time liquidity solution from Citi helps facilitate 24/7 account funding and streamline treasury processes NEW YORK — Citi today announced the launch of Citi Real-Time Funding (RTF), the latest addition to its real-time treasury suite of solutions …",2024-06-10T12:10:56Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/citi-launches-citi-real-time-funding-for-corporate-clients-expanding-its-real-time-treasury-suite
26,Bloomberg News,Putin Set for Rare Visits to Security Partners North Korea and Vietnam,https://financialpost.com/pmn/business-pmn/putin-set-for-rare-visits-to-security-partners-north-korea-and-vietnam,"Russian President Vladimir Putin is set to visit North Korea and Vietnam soon, taking rare trips to Moscow’s traditional security partners as he seeks help for his grinding war on Ukraine.",2024-06-10T07:33:10Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/putin-set-for-rare-visits-to-security-partners-north-korea-and-vietnam
27,Business Wire,Slate Asset Management Acquires the World Seafood Center in Oslo for Approximately NOK 1.3 Billion,https://financialpost.com/pmn/business-wire-news-releases-pmn/slate-asset-management-acquires-the-world-seafood-center-in-oslo-for-approximately-nok-1-3-billion,"OSLO, Norway — Slate Asset Management (“Slate”), a global alternative investment platform targeting real assets, today announced that it has acquired the World Seafood Center, a state-of-the-art, new build seafood refrigeration and distribution facility, loca…",2024-06-10T07:26:06Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/slate-asset-management-acquires-the-world-seafood-center-in-oslo-for-approximately-nok-1-3-billion
28,GlobeNewswire,Eyeris Wins “Automotive Tech Company of the Year” and “Automotive Product of the Year” Awards at AutoTech: Detroit 2024,https://financialpost.com/globe-newswire/eyeris-wins-automotive-tech-company-of-the-year-and-automotive-product-of-the-year-awards-at-autotech-detroit-2024,"MOUNTAIN VIEW, Calif. and DETROIT, June 10, 2024 (GLOBE NEWSWIRE) — Eyeris, a global leader in in-cabin sensing AI and sensor fusion solutions, has won two AutoTech Awards (formerly known as the Informa Tech Automotive Awards) in the categories of “The Automo…",2024-06-10T11:01:21Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/eyeris-wins-automotive-tech-company-of-the-year-and-automotive-product-of-the-year-awards-at-autotech-detroit-2024
29,GlobeNewswire,"OTC Markets Group Welcomes American Oncology Network, Inc. to OTCQX",https://financialpost.com/globe-newswire/otc-markets-group-welcomes-american-oncology-network-inc-to-otcqx,"NEW YORK, June 10, 2024 (GLOBE NEWSWIRE) — OTC Markets Group Inc. (OTCQX: OTCM), operator of regulated markets for trading 12,000 U.S. and international securities, today announced American Oncology Network, Inc. (AON) (OTCQX: AONC), a rapidly-growing network…",2024-06-10T11:00:43Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/otc-markets-group-welcomes-american-oncology-network-inc-to-otcqx
30,GlobeNewswire,Sintana Energy Completes Acquisition of Interest in Giraffe Energy,https://financialpost.com/globe-newswire/sintana-energy-completes-acquisition-of-interest-in-giraffe-energy,"TORONTO, June 10, 2024 (GLOBE NEWSWIRE) — Sintana Energy Inc. (TSX-V: SEI, OTCQB: SEUSF) (“Sintana” or the “Company”) is pleased to announce that it has closed its previously announced (April 24 Release) acquisition of an initial 49% interest in Giraffe Energ…",2024-06-10T11:00:39Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/sintana-energy-completes-acquisition-of-interest-in-giraffe-energy
31,The Canadian Press,"Lack of fleece inventory contributes to Roots reporting $8.9M Q1 loss, sales drop",https://financialpost.com/pmn/business-pmn/lack-of-fleece-inventory-contributes-to-roots-reporting-8-9m-q1-loss-sales-drop,TORONTO — Roots Corp. says it lost $8.9 million in its latest quarter as it missed out on some sales because it didn’t have enough of its fleece products to keep up with demand and is still seeing shoppers grapple with economic headwinds. The Toronto-based ap…,2024-06-10T13:21:15Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/lack-of-fleece-inventory-contributes-to-roots-reporting-8-9m-q1-loss-sales-drop
32,GlobeNewswire,AMD to Present at the UBS Women in Tech Summit,https://financialpost.com/globe-newswire/amd-to-present-at-the-ubs-women-in-tech-summit,"SANTA CLARA, Calif., June 10, 2024 (GLOBE NEWSWIRE) — Today, AMD (NASDAQ: AMD) announced that Ruth Cotter, senior vice president, Marketing, Communications and Human Resources, will present at the UBS Women in Tech Summit on Wednesday, June 12 at 10:30 am PT …",2024-06-10T13:18:25Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/amd-to-present-at-the-ubs-women-in-tech-summit
33,Bloomberg News,California’s Capital Will See Temperatures Above 100F This Week,https://financialpost.com/pmn/business-pmn/californias-capital-will-see-temperatures-above-100f-this-week,Unseasonably hot weather in California is on Bloomberg Green’s radar today.,2024-06-10T13:40:00Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/californias-capital-will-see-temperatures-above-100f-this-week
34,The Associated Press,"This NYC vet makes house calls. In ‘Pets and the City,’ she’s penned a memoir full of tails",https://financialpost.com/pmn/business-pmn/this-nyc-vet-makes-house-calls-in-pets-and-the-city-shes-penned-a-memoir-full-of-tails,"NEW YORK (AP) — As a city kid, Amy Attas had big dreams of roaming the countryside, healing animals a la James Herriot’s classic “All Creatures Great and Small.” How did it go? Well, the veterinarian made it from Queens to Manhattan, spending the last 32 year…",2024-06-10T12:29:10Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/this-nyc-vet-makes-house-calls-in-pets-and-the-city-shes-penned-a-memoir-full-of-tails
35,Business Wire,MSCI Transforms Risk Analytics for the Future With New GenAI-Powered Tool and Modelling Technology,https://financialpost.com/pmn/business-wire-news-releases-pmn/msci-transforms-risk-analytics-for-the-future-with-new-genai-powered-tool-and-modelling-technology,"MSCI AI Portfolio Insights and Macro Finance Analyzer will help investors identify, manage, and analyze data-driven portfolio risks NEW YORK — MSCI Inc. (NYSE: MSCI), a leading provider of mission-critical decision support tools and services for the global in…",2024-06-10T12:10:51Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/msci-transforms-risk-analytics-for-the-future-with-new-genai-powered-tool-and-modelling-technology
36,Business Wire,Clinician’s Choice® Launches MPa Universal™,https://financialpost.com/pmn/business-wire-news-releases-pmn/clinicians-choice-launches-mpa-universal,"LONDON, Ontario — Clinician’s Choice is expanding their MPa family of adhesives with MPa Universal. MPa Universal offers a cost-effective and reliable solution for both direct and indirect bonding applications. It serves as a competitive alternative to existi…",2024-06-10T12:10:42Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/clinicians-choice-launches-mpa-universal
37,Business Wire,CapIntel Debuts Uncapped: Inaugural User Conference For Leaders in the Digital Evolution of Wealth and Asset Management,https://financialpost.com/pmn/business-wire-news-releases-pmn/capintel-debuts-uncapped-inaugural-user-conference-for-leaders-in-the-digital-evolution-of-wealth-and-asset-management,"Exclusive event dedicated to technology and innovation in wealth management brings together wholesalers and advisors for collaboration and learning in a digital-first environment TORONTO — CapIntel Inc. (CapIntel), a leading business-to-business financial tec…",2024-06-10T12:10:47Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/capintel-debuts-uncapped-inaugural-user-conference-for-leaders-in-the-digital-evolution-of-wealth-and-asset-management
38,The Associated Press,"Coffee, sculptures and financial advice. Banks try to make new branches less intimidating",https://financialpost.com/pmn/business-pmn/coffee-sculptures-and-financial-advice-banks-try-to-make-new-branches-less-intimidating,"NEW YORK (AP) — It’s like Sephora or Starbucks now offered a checking account. After years of closing or mostly neglecting physical bank branches across the U.S., the nation’s largest banks are spending hundreds of millions of dollars on refurbishing old loca…",2024-06-10T11:46:14Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/coffee-sculptures-and-financial-advice-banks-try-to-make-new-branches-less-intimidating
39,Bloomberg News,Tesla’s Investor Vote on Elon Musk’s Pay Package Is About More Than His Money,https://financialpost.com/pmn/business-pmn/teslas-investor-vote-on-elon-musks-pay-package-is-about-more-than-his-money,"Even if Tesla Inc. shareholders vote later this week to ratify Chief Executive Officer Elon Musk’s $56 billion pay package, it’s unlikely to reverse a judge’s decision to nullify the 2018 compensation deal.",2024-06-10T11:17:19Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/teslas-investor-vote-on-elon-musks-pay-package-is-about-more-than-his-money
40,GlobeNewswire,IZEA Launches Flex Budget Suite for Enhanced Campaign Budget Management,https://financialpost.com/globe-newswire/izea-launches-flex-budget-suite-for-enhanced-campaign-budget-management,"New Tools Provide Additional Management and Financial Controls for Influencer Marketing Initiatives ORLANDO, Fla. , June 10, 2024 (GLOBE NEWSWIRE) — IZEA Worldwide, Inc. (NASDAQ: IZEA), the premier provider of technology, data, and services for the Creator Ec…",2024-06-10T14:04:27Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/izea-launches-flex-budget-suite-for-enhanced-campaign-budget-management
41,Bloomberg News,Ukraine Recovery Official Abruptly Resigns Amid Infighting,https://financialpost.com/pmn/business-pmn/ukraine-recovery-official-abruptly-resigns-amid-infighting,Ukraine’s top official tasked with reconstruction abruptly resigned and accused the government of hindering his efforts after the nation’s premier blocked his request to attend a conference in Berlin.,2024-06-10T13:55:18Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/ukraine-recovery-official-abruptly-resigns-amid-infighting
42,Bloomberg News,Near Record Copper Prices Can’t Stop One Miner From Going Bust,https://financialpost.com/pmn/business-pmn/near-record-copper-prices-cant-stop-one-miner-from-going-bust,"Nevada Copper Corp., a miner backed by Pala Investments and Mercuria Energy Group Ltd., has filed for bankruptcy protection, even as prices of the metal sit near the highest on record.",2024-06-10T14:10:32Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/near-record-copper-prices-cant-stop-one-miner-from-going-bust
43,GlobeNewswire,Hong Kong Earns Two Entries on the Prestigious World’s 50 Best Restaurants List with Best Entry at 20th,https://financialpost.com/globe-newswire/hong-kong-earns-two-entries-on-the-prestigious-worlds-50-best-restaurants-list-with-best-entry-at-20th,"TORONTO, June 10, 2024 (GLOBE NEWSWIRE) — The Hong Kong Tourism Board (HKTB) applauded the city’s outstanding culinary sector as two restaurants – Wing and The Chairman – were ranked highly in the prestigious list of The World’s 50 Best Restaurants 2024. The …",2024-06-10T14:34:58Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/hong-kong-earns-two-entries-on-the-prestigious-worlds-50-best-restaurants-list-with-best-entry-at-20th
44,The Canadian Press,National Bank to buy Canadian Western Bank at $5 billion valuation,https://financialpost.com/pmn/business-pmn/national-bank-to-buy-canadian-western-bank-at-5-billion-valuation,MONTREAL — Canada’s banking sector is facing further consolidation as National Bank of Canada has reached an all-share deal to acquire Canadian Western Bank that values the lender at about $5 billion. The deal will see Quebec-focused National Bank expand its …,2024-06-11T22:25:08Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/national-bank-to-buy-canadian-western-bank-at-5-billion-valuation
45,Business Wire,"Gold Reserve Announces Submission of Credit Bid for CITGO Petroleum Corp. Parent Company, PDV Holdings, Inc.",https://financialpost.com/pmn/business-wire-news-releases-pmn/gold-reserve-announces-submission-of-credit-bid-for-citgo-petroleum-corp-parent-company-pdv-holdings-inc,"TORONTO — Gold Reserve Inc. (TSX.V: GRZ) (OTCQX: GDRZF) (“Gold Reserve” or the “Company”) is pleased to announce the submission of a credit bid (the “Bid“) for the common shares of PDV Holdings, Inc. (“PDVH”), the indirect parent company of CITGO Petroleum Co…",2024-06-11T21:45:00Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-wire-news-releases-pmn/gold-reserve-announces-submission-of-credit-bid-for-citgo-petroleum-corp-parent-company-pdv-holdings-inc
46,GlobeNewswire,Questor Announces New Vice President of Operations and Engineering and Director of Sales and Marketing,https://financialpost.com/globe-newswire/questor-announces-new-vice-president-of-operations-and-engineering-and-director-of-sales-and-marketing,"CALGARY, Alberta, June 11, 2024 (GLOBE NEWSWIRE) — Questor Technology Inc. (“Questor”, the “Company”), (TSX Venture Exchange: QST) is pleased to announce Mr. Quentin Kyliuk, has joined the company as Vice President of Operations and Engineering and Ms. Stepha…",2024-06-11T23:52:44Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/questor-announces-new-vice-president-of-operations-and-engineering-and-director-of-sales-and-marketing
47,The Associated Press,Production starts at Senegal’s first offshore oil project,https://financialpost.com/pmn/business-pmn/production-starts-at-senegals-first-offshore-oil-project,"DAKAR, Senegal (AP) — Production has started at Senegal’s first offshore oil project, the Australian group Woodside Energy said Tuesday, as the country’s new government eyes higher profits from natural resources. “This is a historic day for Senegal and for Wo…",2024-06-11T13:45:57Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/production-starts-at-senegals-first-offshore-oil-project
48,GlobeNewswire,EXP to lead engineering services for transformative land rights project in Senegal,https://financialpost.com/globe-newswire/exp-to-lead-engineering-services-for-transformative-land-rights-project-in-senegal,"MONTREAL, June 11, 2024 (GLOBE NEWSWIRE) — EXP, a multidisciplinary engineering, architecture, design and consulting firm, has been selected by the Senegalese Government to leverage its international experience for Senegal’s Cadastre and Land Tenure Improveme…",2024-06-11T15:27:34Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/exp-to-lead-engineering-services-for-transformative-land-rights-project-in-senegal
49,The Associated Press,"Federal watchdog investigates UAW president Shawn Fain, accuses union of being uncooperative",https://financialpost.com/pmn/business-pmn/federal-watchdog-investigates-uaw-president-shawn-fain-accuses-union-of-being-uncooperative,NEW YORK (AP) — United Auto Workers president Shawn Fain is under investigation by a court-appointed watchdog who has been working to stamp out corruption at the union in the wake of its stunning bribery and embezzlement scandal several years ago. The monitor…,2024-06-11T16:20:59Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/federal-watchdog-investigates-uaw-president-shawn-fain-accuses-union-of-being-uncooperative
